# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	542
#@/user_id	rime-windows-one
an zhuo 	安卓	c=8 d=5.8992 t=542
ang da 	昂达	c=1 d=0.985112 t=542
ba 	吧	c=1 d=1 t=542
bai 	白	c=1 d=0.980199 t=542
bai du 	百度	c=1 d=0.932394 t=542
ban ben 	版本	c=2 d=1.66952 t=542
ban fa 	办法	c=1 d=0.101266 t=542
bang yan 	榜眼	c=1 d=0.946485 t=542
bei wei 	卑微	c=1 d=0.970446 t=542
ben di 	本地	c=1 d=1 t=529
ben tian 	本田	c=1 d=0.985112 t=542
bi jiao 	比较	c=1 d=0.995012 t=542
bi ying 	必应	c=1 d=0.927743 t=542
bian hao 	编号	c=1 d=0.839457 t=542
biao ge 	表格	c=1 d=1 t=542
bing 	并	c=1 d=0.740818 t=542
bing mei you 	并没有	c=1 d=0.802519 t=542
bo fang 	播放	c=7 d=5.87064 t=542
bo fang qi 	播放器	c=7 d=5.1106 t=542
bo he 	薄荷	c=1 d=0.100259 t=542
bu fen 	部分	c=1 d=0.946485 t=542
bu guan 	不管	c=1 d=0.831104 t=542
bu hao 	不好	c=1 d=0.843665 t=542
bu hui 	不会	c=1 d=0.980199 t=542
bu ke 	不可	c=1 d=0.782705 t=542
bu wen 	不问	c=1 d=0.83527 t=542
bu yao 	不要	c=1 d=0.873716 t=542
bu zhi chi 	不支持	c=1 d=0.955997 t=542
bu zhi ke fou 	不置可否	c=1 d=0.111359 t=542
cai dan lan 	菜单栏	c=1 d=0.88692 t=542
cha kan 	查看	c=1 d=0.895834 t=542
chen 	晨	c=1 d=0.995012 t=542
chen 	沈	c=1 d=0.97531 t=542
chen yi fa er 	陈一发儿	c=1 d=1 t=542
ci 	词	c=1 d=1 t=506
ci hui 	词汇	c=1 d=1 t=522
ci ku 	词库	c=7 d=5.29428 t=542
dan 	但	c=1 d=1 t=523
dao 	到	c=2 d=1.86936 t=542
dao mu bi ji 	盗墓笔记	c=1 d=1 t=510
dao zhi 	导致	c=1 d=0.985112 t=542
de 	的	c=16 d=8.72251 t=542
de bang 	德邦	c=1 d=0.810584 t=542
di yu 	地狱	c=1 d=0.995012 t=542
dian shi 	电视	c=1 d=0.995012 t=542
dian shi he zi 	电视盒子	c=2 d=1.89382 t=542
ding 	鼎	c=1 d=1 t=539
ding yue 	订阅	c=1 d=0.965605 t=542
diu shi 	丢失	c=1 d=1 t=542
dong shi xiao pin 	东施效颦	c=1 d=0.99005 t=542
duan 	端	c=8 d=6.78071 t=542
duan yu 	短语	c=1 d=1 t=497
duo duan 	多端	c=1 d=0.923116 t=542
duo she bei 	多设备	c=3 d=2.75931 t=542
en 	嗯	c=3 d=2.61273 t=542
er zhe 	二者	c=1 d=0.946485 t=542
fa lv 	法律	c=1 d=1 t=542
fa xing ban 	发行版	c=4 d=3.82302 t=542
fa yuan 	法院	c=1 d=0.995012 t=542
fang fa 	方法	c=3 d=2.72165 t=542
fang wen 	访问	c=1 d=0.951229 t=542
feng 	风	c=1 d=0.99005 t=542
feng tian 	丰田	c=1 d=0.99005 t=542
fo 	佛	c=1 d=1 t=502
fu 	伏	c=4 d=2.61027 t=542
fu xuan 	复选	c=1 d=0.748264 t=542
fu yan 	敷衍	c=2 d=1.8233 t=542
